PRODUCT_CODE,ATC,duration_of_box
009830047,G03CA01,25
009848045,B05BA03,1
009848084,B05BA03,1
009896010,S01XA02,2.5
009950027,A11GA01,.2
009956018,S01XA14,1
009956020,S01XA14,1
009964038,M04AC01,1
010000038,C01DA05,.12
010058030,A07AA02,1.5
010089011,H02AB07,10
010089047,H02AB07,10
010130021,A11HA05,.01
010130060,A11HA05,.01
010174035,S01AA01,.4
010226064,R05CA10,2
010226215,R05FA02,20
010273011,M02AC,2.5
010308029,M03AB01,1
010317028,B05AA01,20
010317042,B05AA01,20
010318032,D07AA02,2
010344012,L01BB02,.15
010386011,C05BA01,2
010386023,C05BA01,2
016443044,B03AA03,.2
016443071,B03AA03,.2
016453033,S01FA06,.2
016453045,S01FA06,.2
016458010,S01BB,
016479040,N04AA02,10
016521039,B01AC07,.4
016521041,B01AC07,.2
016521054,B01AC07,.4
016531016,A07AA06,3
016583027,S02CA03,.6
016626018,S01EC02,.1
016691558,N01BB03,1
016691560,N01BB03,1
016691572,N01BB03,1
016691584,N01BB03,1
016747026,B03AB,.09
016747038,B03AB,.09
016761037,G01BA,1
016762015,D01BA01,.5
016762041,D01BA01,.5
016766026,L01DC03,3
016805018,N05AD01,8
016805020,N05AD01,8
016805032,N05AD01,8
016805044,N05AD01,8
016805057,N05AD01,8
016805107,N05AD01,8
016861015,C03BA04,25
016891018,A10BB02,.375
016946016,B01AC07,.4
017010051,J01BA02,1.5
017076035,C05CA54,
017076074,C05CA54,
017076124,C05CA54,
017076136,C05CA54,
017076148,C05CA54,
017311022,G01AA,.1
017389065,C05AX,3
017389091,C05AX,3
017389103,C05AX,3
017432016,A05BA,20
017432055,A13A,
017604101,N05BA02,30
017616018,R06AX02,12
017616020,R06AX02,12
017651035,A01AC,1
013013026,N04AB02,.2
013046038,A07FA,2.5
013046040,A07FA,2.5
013046053,A07FA,2.5
013074012,S01CA03,.4
013092010,A11JA,1
013092022,A11JA,1
013108030,S01GA51,.2
013185020,R03BX,4
013346010,H03BC01,.3
013401068,H03AA02,60
013403011,N05AB03,30
013403023,N05AB03,30
013403035,N05AB03,30
013469010,H02AB09,30
013469022,H02AB09,30
013469034,H02AB09,30
013478021,A11AA03,1
013868031,C05AA01,1.5
013868043,C05AA01,1.5
013941051,D04AA22,2
013967056,P01BA02,.516
013972056,H02AB08,7.5
013986029,H02AB09,30
013986031,H02AB09,30
013986043,H02AB09,30
013993023,S01AA30,.4
014136028,N04AA03,40
014137020,S01XA,.3
014152019,J01XE01,.2
014159026,H02AB04,7.5
014159040,H02AB04,7.5
014160079,D06AX04,2
014160081,D06AX04,2
014166033,C01AA05,.25
014166045,C01AA05,.25
014205037,A06AB02,10
014284018,A04AD,.015
014284020,A04AD,.015
014302032,S02AA30,.6
014371037,A01AB03,30
014371052,A01AB03,30
014371088,A01AB03,30
014385013,G01BA,1.5
014394050,B01AB,.1
014394074,B01AB,.4
014438016,S01BA02,.4
014438028,S01XA,.3
014621027,R02AA20,6
014621039,R02AA20,6
014684029,H01BB02,15
014729014,H02AB02,1.5
014729077,H02AB02,1.5
014729089,H02AB02,1.5
014729127,H02AB02,1.5
014729139,H02AB02,1.5
014729141,H02AB02,1.5
014743049,A01AB11,4
014969012,N06AA02,.1
014969024,N06AA02,.1
015001023,S01GA02,.2
015001074,S01GA02,.2
015045026,A02AX,6
015045040,A02AX,6
015050014,J02AA01,35
015094016,C03AA03,25
015148024,G03DA02,5
015148036,G03DA02,5
015148087,L02AB02,1
015148099,L02AB02,1
015148125,L02AB02,1
015148137,L02AB02,1
015148149,L02AB02,1
015228012,N05AA02,.3
015228024,N05AA02,.3
015503016,M02AC,3.5
015503028,M02AC,3.5
015536028,S01XA14,1
015582012,S01GA02,.2
015596024,C04AX,.04
015596051,C04AX,.04
015598016,R01AA07,.8
015598028,R01AA07,.8
015628011,L01AA01,.15
015628086,L01AA01,.15
015642010,D01BA01,.5
015724026,C01AA05,.25
015724038,C01AA05,.25
015724053,C01AA05,.25
015724065,C01AA05,.25
015724077,C01AA05,.25
015784022,A11JB,2
015784034,A11JB,4
015784046,A11JB,2
015839095,H02AB04,20
015896018,M03BX05,8
015896020,M03BX05,16
015896044,M02AX10,2.5
015896095,M03BX05,16
015912013,S01BB,
015937016,A06AG01,1
015937028,A06AG01,1
015960014,R05DA,.04
015980016,S01BA01,.6
016016065,B03BA03,20
016026015,S01CA02,.4
016062034,R01AX10,
016062046,R01AX10,
016094017,G03BA03,18
016222073,C05CX,.045
016242063,R02AA20,6
016242075,R02AA20,6
016242087,R02AA20,6
016242149,R02AA20,6
016242152,R02AA20,6
016242164,R02AA20,6
016242188,R02AA20,6
016242190,R02AA20,6
016242214,R02AA20,6
016242226,R02AA20,6
016242238,R02AA20,6
016281053,N02BE51,3.5
016334029,J01XA01,2
016366027,B01AA03,7.5
016371054,A02AD01,10
018934024,R02AA02,1.5
018949014,R01AA06,.8
018956060,A13A,
019133038,R01AD,2
019165036,A02AF02,
019184050,N05AB06,20
019184062,N05AB06,20
019311012,B05XA,1.95
019350026,B01AC,.3
019365016,S01AD01,.5
019365028,S01AD01,.5
019387012,D07CB04,2
019396023,R05DA09,90
019408018,C03DA01,75
019449014,A10BA02,2
019449038,A10BA02,2
019499019,H02AB02,1.5
019499060,D07AB19,2
019499072,H02AB02,1.5
019499084,H02AB02,1.5
019512021,S01XA,.8
019589011,A13A,
019875083,D03AX05,2
019875095,D03AX05,2
019888015,L01BA01,2.5
